Cary,./home,1662641059085
Mary,./home,1662641059092
Bob,./fav,1662641059092
Alice,./prod?id=2,1662641059092
Cary,./cart,1662641059092
Bob,./prod?id=1,1662641059092
Bob,./fav,1662641059092
Mary,./prod?id=1,1662641059092
Mary,./cart,1662641059092
Mary,./fav,1662641059092
Alice,./prod?id=1,1662641059092
Alice,./fav,1662641059092
Mary,./fav,1662641059092
Cary,./prod?id=2,1662641059092
Bob,./cart,1662641059092
Alice,./fav,1662641059092
Cary,./cart,1662641059092
Bob,./prod?id=1,1662641059093
Alice,./prod?id=1,1662641059093
Cary,./prod?id=2,1662641059093
